Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,created_at,exclusion_reasons
gazebo_ros2_control,ros-simulation,"Wrappers, tools and additional API's for using ros2_control with Gazebo Classic",https://github.com/ros-controls/gazebo_ros2_control,1927,247,133,34,gazebo;gazebo-classic;ros;ros2,Apache-2.0,True,False,False,False,True,True,good first issue,36,209,2020-05-28T08:06:16Z,1,1,0,docs,Organization,1927,21,247,C++;Python;CMake;Dockerfile;Shell,2,275,288,32,91,18.57,79.49,2.99,0.54,1.9,3.53,2.3,0.0,0.0,70,ros-controls/gazebo_ros2_control,humble,2020-05-22T21:31:59Z,archived
rdl-release,jlack1987,Release repository for rdl,https://github.com/jlack1987/rdl-release,421,0,0,0,,,True,False,False,False,False,True,good first issue,1,1,2025-09-20T19:03:49Z,1,1,0,docs,User,421,0,0,,0,0,0,0,0,,,0.17,0.17,0.0,0.0,0.0,0.0,0.0,6,jlack1987/rdl-release,jazzy,2025-09-20T19:02:48Z,archived;created_recently_6mo;no_programming_languages
gazebo_ros_pkgs,ros-simulation,"Wrappers, tools and additional API's for using ROS with Gazebo",https://github.com/ros-simulation/gazebo_ros_pkgs,6829,849,786,391,,,True,True,False,False,False,True,good-first-issue,82,1010,2013-02-18T06:38:06Z,15,324,0,code,Organization,6829,44,849,C++;Python;CMake;Shell;Batchfile,96,686,848,295,327,110.05,208.57,6.56,0.67,5.1,5.51,1.25,1.52,0.0,154,ros-simulation/gazebo_ros_pkgs,humble,2013-05-28T19:59:20Z,archived;inactive_6mo
pybind11_json_vendor,open-rmf,pybind11_json vendor package,https://github.com/open-rmf/pybind11_json_vendor,47,0,2,0,,Apache-2.0,True,False,False,False,False,True,good first issue,7,31,2022-01-12T00:50:42Z,1,2,0,docs,Organization,47,6,0,CMake,0,16,16,0,1,14.53,29.1,0.62,0.14,0.04,0.0,0.62,0.0,0.0,50,open-rmf/pybind11_json_vendor,humble|jazzy|kilted,2022-01-12T00:50:41Z,archived;inactive_6mo
NavMap,EasyNavigation,,https://github.com/EasyNavigation/NavMap,13290,98,10,1,,Apache-2.0,True,False,False,False,False,True,good first issue,3,116,2025-09-14T06:56:37Z,1,33,0,docs,Organization,13290,1,98,C++;CMake;Python,0,17,18,1,1,0.65,125.77,19.33,0.5,1.67,16.33,9.81,0.0,0.0,6,EasyNavigation/NavMap,jazzy|kilted,2025-09-14T06:55:59Z,created_recently_6mo
leo_examples-ros2,LeoRover,A collection of ROS packages that show example usage of functionalities on stock Leo Rover.,https://github.com/LeoRover/leo_examples-ros2,11290,0,0,0,,MIT,True,False,False,False,False,True,good first issue,2,9,2025-10-14T14:11:07Z,1,2,0,docs,Organization,11290,0,0,Python;Jupyter Notebook;CMake,0,5,5,0,0,14.63,,1.8,0.4,0.0,0.0,0.11,0.0,0.0,5,LeoRover/leo_examples-ros2,jazzy|kilted,2025-10-14T14:11:06Z,created_recently_6mo
mujoco_ros2_control,ros-controls,"Provides a ROS 2 control hardware interface for the MuJoCo physics simulator, including plugins for various sensors, RGB-D cameras, and lidar.",https://github.com/ros-controls/mujoco_ros2_control,486,127,21,7,mujoco;robotics;ros-controls;ros2;simulation,Apache-2.0,True,False,False,False,False,True,good first issue,13,208,2025-05-23T18:20:08Z,13,4919,0,code,Organization,486,7,127,Python;C++;CMake;Shell;Dockerfile,4,95,106,3,19,3.79,9.17,52.0,3.25,5.25,31.75,4.39,0.0,0.0,4,ros-controls/mujoco_ros2_control,humble|jazzy|kilted,2025-11-20T18:06:47Z,created_recently_6mo
ros2_eventdispatch,cyan-at,discrete-time synchronization: ros2 src repo,https://github.com/cyan-at/ros2_eventdispatch,63,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,18,2025-10-30T05:36:49Z,1,201,0,other,User,63,0,0,Python;Shell;CMake,0,0,0,0,0,,,3.6,0.4,0.0,0.0,1.88,0.0,0.0,5,cyan-at/ros2_eventdispatch,jazzy,2025-10-30T05:36:49Z,created_recently_6mo
bob_llm,bob-ros2,"This ROS 2 package provides a highly flexible node that acts as an interface to Large Language Models (LLMs). The bob_llm node connects to any OpenAI-compatible API, manages conversational history, and exposes a powerful, dynamically-loadable tool system that allows the LLM to interact with a robot's functions.",https://github.com/bob-ros2/bob_llm,233,0,0,0,,Apache-2.0,True,True,False,False,False,True,good first issue,1,47,2025-11-03T00:04:23Z,12,1234,0,code,User,233,0,0,Python;Shell;CMake,0,0,0,0,0,,,11.75,0.25,0.0,0.0,15.8,0.62,0.0,4,bob-ros2/bob_llm,humble,2025-11-01T14:54:25Z,created_recently_6mo
crx_kinematics,danielcranston,Forward and Inverse Kinematics for Fanuc CRX series cobots.,https://github.com/danielcranston/crx_kinematics,4218,4,1,0,,MIT,True,False,False,False,False,True,good first issue,1,66,2025-11-05T13:52:39Z,1,438,0,code,User,4218,1,4,C++;Python;CMake,0,0,0,0,0,,,16.5,0.25,0.25,1.0,3.79,0.0,0.0,4,danielcranston/crx_kinematics,humble|jazzy|kilted,2025-11-05T13:53:28Z,created_recently_6mo
